id;shape;color;clarity;report;type;cut
10086429;Round;J;SI2;GIA;natural;Very Good
10016334;Emerald;I;SI1;GIA;natural;Ideal
9947216;Emerald;I;VS2;GIA;natural;Ideal
10083437;Round;I;SI2;GIA;natural;Ideal
9946136;Emerald;I;SI1;GIA;natural;Ideal
10070154;Emerald;E;SI2;GIA;natural;Ideal
10086507;Round;J;SI2;GIA;natural;Ideal
10083288;Round;J;SI2;GIA;natural;Very Good
10090935;Marquise;J;VS2;GIA;natural;Ideal
9943628;Emerald;I;VVS1;GIA;natural;Ideal
10055476;Round;J;SI1;GIA;natural;Ideal
10086105;Round;J;SI2;GIA;natural;Very Good
10082791;Round;I;SI2;GIA;natural;Very Good
10084879;Round;J;SI2;GIA;natural;Very Good
10087558;Round;J;SI2;GIA;natural;Very Good
9998192;Emerald;I;VS2;GIA;natural;Ideal
10083170;Round;J;SI1;GIA;natural;Very Good
10084818;Round;J;SI2;GIA;natural;Very Good
10048801;Emerald;E;SI2;GIA;natural;Ideal
10018558;Emerald;J;VS1;GIA;natural;Very Good
10087239;Round;F;SI2;GIA;natural;Very Good
9926525;Princess;G;SI2;GIA;natural;Ideal
10085677;Round;J;SI2;GIA;natural;Super Ideal
10078896;Round;I;SI2;GIA;natural;Very Good
9926562;Pear;I;SI1;GIA;natural;Ideal
10084000;Round;J;SI2;GIA;natural;Very Good
10083255;Round;J;SI1;GIA;natural;Very Good
9968964;Emerald;J;VS1;GIA;natural;Ideal
10086394;Round;I;SI2;GIA;natural;Super Ideal
9943656;Emerald;I;SI1;GIA;natural;Ideal
10085531;Round;J;SI2;GIA;natural;Very Good
10085242;Round;I;SI2;GIA;natural;Very Good
10017664;Princess;J;SI2;GIA;natural;Ideal
10018977;Pear;I;SI1;GIA;natural;Ideal
9997898;Marquise;F;SI1;GIA;natural;Good
10083855;Round;J;SI1;GIA;natural;Very Good
10085658;Round;I;SI1;GIA;natural;Ideal
9946103;Emerald;F;SI2;GIA;natural;Ideal
10088017;Emerald;J;SI1;GIA;natural;Ideal
9944355;Emerald;G;SI1;GIA;natural;Very Good
9944542;Emerald;J;VS1;GIA;natural;Super Ideal
9946958;Emerald;F;SI2;GIA;natural;Ideal
9947491;Emerald;F;SI2;GIA;natural;Ideal
10084951;Round;J;SI1;GIA;natural;Very Good
9967595;Emerald;J;VS2;GIA;natural;Ideal
9946002;Emerald;H;SI1;GIA;natural;Ideal
10010529;Emerald;F;SI2;GIA;natural;Ideal
10083303;Round;I;SI1;GIA;natural;Super Ideal
10086230;Round;I;SI1;GIA;natural;Very Good
10082181;Round;I;SI2;GIA;natural;Super Ideal
10082715;Round;G;SI2;GIA;natural;Ideal
10086414;Round;J;VS2;GIA;natural;Very Good
10021869;Emerald;F;SI2;GIA;natural;Ideal
10082854;Round;I;SI2;GIA;natural;Super Ideal
10017659;Princess;E;SI1;GIA;natural;Ideal
10021227;Round;I;SI1;GIA;natural;Super Ideal
10085576;Round;J;SI1;GIA;natural;Super Ideal
10086541;Round;J;SI1;GIA;natural;Super Ideal
10086607;Round;I;SI1;GIA;natural;Ideal
10083440;Round;I;SI2;GIA;natural;Super Ideal
10081905;Round;J;SI2;GIA;natural;Ideal
10083628;Round;I;SI2;GIA;natural;Super Ideal
10084616;Round;J;SI2;GIA;natural;Very Good
10085191;Round;J;SI2;GIA;natural;Ideal
10086398;Round;J;SI2;GIA;natural;Super Ideal
10069564;Pear;I;VS2;GIA;natural;Good
10085647;Round;J;SI1;GIA;natural;Super Ideal
9943802;Emerald;F;SI2;GIA;natural;Ideal
10086613;Round;I;SI2;GIA;natural;Very Good
10017866;Emerald;F;SI1;GIA;natural;Ideal
10035452;Round;I;SI1;GIA;natural;Very Good
9981968;Marquise;I;SI1;GIA;natural;Ideal
9946479;Emerald;F;SI2;GIA;natural;Ideal
10061364;Marquise;F;SI2;GIA;natural;Ideal
10082500;Round;J;SI1;GIA;natural;Super Ideal
10053036;Emerald;D;SI2;GIA;natural;Ideal
9989482;Emerald;F;SI1;GIA;natural;Very Good
10086205;Round;I;VS2;GIA;natural;Ideal
10082162;Round;J;VS2;GIA;natural;Ideal
10084578;Round;J;SI1;GIA;natural;Super Ideal
10086346;Round;J;SI1;GIA;natural;Very Good
10091308;Pear;I;SI1;GIA;natural;Ideal
9928413;Princess;I;SI1;GIA;natural;Super Ideal
9990986;Emerald;G;SI2;GIA;natural;Super Ideal
10073135;Round;H;SI2;GIA;natural;Good
10086324;Round;I;VS2;GIA;natural;Ideal
10082566;Round;F;SI2;GIA;natural;Very Good
10082795;Round;H;SI2;GIA;natural;Ideal
10083928;Round;J;SI1;GIA;natural;Very Good
10083162;Round;I;SI2;GIA;natural;Ideal
10084180;Round;H;SI2;GIA;natural;Super Ideal
10080402;Round;I;VS2;GIA;natural;Good
10048724;Emerald;F;SI1;GIA;natural;Ideal
9909069;Round;H;SI1;GIA;natural;Good
10000634;Round;I;VS2;GIA;natural;Very Good
10083476;Round;I;VS2;GIA;natural;Super Ideal
10084896;Round;I;SI1;GIA;natural;Super Ideal
10086764;Round;I;SI2;GIA;natural;Super Ideal
10082433;Round;I;SI1;GIA;natural;Very Good
10083849;Round;J;SI2;GIA;natural;Super Ideal
9968988;Emerald;F;SI1;GIA;natural;Very Good
9957272;Emerald;G;SI1;GIA;natural;Ideal
10010687;Princess;I;VS1;GIA;natural;Ideal
10086104;Round;G;SI2;GIA;natural;Very Good
10084788;Round;J;SI1;GIA;natural;Ideal
10082121;Round;F;SI2;GIA;natural;Ideal
10085645;Round;J;VS2;GIA;natural;Very Good
9973964;Pear;J;VS2;GIA;natural;Ideal
10086243;Round;J;SI2;GIA;natural;Super Ideal
10090742;Emerald;J;VS1;GIA;natural;Ideal
9943254;Emerald;E;SI2;GIA;natural;Ideal
9926324;Marquise;I;VS2;GIA;natural;Ideal
9998051;Emerald;I;VS1;GIA;natural;Ideal
9926330;Marquise;F;SI1;GIA;natural;Very Good
10083105;Round;J;VS2;GIA;natural;Super Ideal
10086464;Round;J;VS2;GIA;natural;Super Ideal
